ticker,name_kr,sector,source,updated_at
090430,아모레퍼시픽,화장품,name-rule,2026-06-22
095340,ISC,반도체,name-rule,2026-06-22
095610,테스,반도체,name-rule,2026-06-22
096770,SK이노베이션,지주/상사,name-rule,2026-06-22
097950,CJ제일제당,음식료,name-rule,2026-06-22
099320,쎄트렉아이,방산,name-rule,2026-06-22
100090,SK오션플랜트,지주/상사,name-rule,2026-06-22
103140,풍산,방산,name-rule,2026-06-22
103590,일진전기,전력기기,name-rule,2026-06-22
105560,KB금융,금융,name-rule,2026-06-22
108490,로보티즈,로봇,name-rule,2026-06-22
112040,위메이드,게임,name-rule,2026-06-22
121600,나노신소재,2차전지,name-rule,2026-06-22
122870,와이지엔터테인먼트,엔터,name-rule,2026-06-22
128940,한미약품,바이오,name-rule,2026-06-22
131970,두산테스나,반도체,name-rule,2026-06-22
137400,피엔티,2차전지,name-rule,2026-06-22
141080,리가켐바이오,바이오,name-rule,2026-06-22
161890,한국콜마,화장품,name-rule,2026-06-22
192820,코스맥스,화장품,name-rule,2026-06-22
196170,알테오젠,바이오,name-rule,2026-06-22
204320,HL만도,자동차,name-rule,2026-06-22
207940,삼성바이오로직스,바이오,name-rule,2026-06-22
225570,넥슨게임즈,게임,name-rule,2026-06-22
229640,LS에코에너지,전력기기,name-rule,2026-06-22
232140,와이씨,반도체,name-rule,2026-06-22
240810,원익IPS,반도체,name-rule,2026-06-22
241560,두산밥캣,지주/상사,name-rule,2026-06-22
247540,에코프로비엠,2차전지,name-rule,2026-06-22
251270,넷마블,게임,name-rule,2026-06-22
253450,스튜디오드래곤,엔터,name-rule,2026-06-22
257720,실리콘투,화장품,name-rule,2026-06-22
259960,크래프톤,게임,name-rule,2026-06-22
263750,펄어비스,게임,name-rule,2026-06-22
267260,HD현대일렉트릭,전력기기,name-rule,2026-06-22
271560,오리온,음식료,name-rule,2026-06-22
277810,레인보우로보틱스,로봇,name-rule,2026-06-22
278280,천보,2차전지,name-rule,2026-06-22
285130,SK케미칼,지주/상사,name-rule,2026-06-22
293490,카카오게임즈,인터넷/AI,name-rule,2026-06-22
298020,효성티앤씨,철강/소재,name-rule,2026-06-22
298040,효성중공업,전력기기,name-rule,2026-06-22
298380,에이비엘바이오,바이오,name-rule,2026-06-22
302440,SK바이오사이언스,바이오,name-rule,2026-06-22
310210,보로노이,바이오,name-rule,2026-06-22
316140,우리금융지주,금융,name-rule,2026-06-22
319660,피에스케이,반도체,name-rule,2026-06-22
323410,카카오뱅크,금융,name-rule,2026-06-22
326030,SK바이오팜,바이오,name-rule,2026-06-22
329180,HD현대중공업,조선,name-rule,2026-06-22
336260,두산퓨얼셀,지주/상사,name-rule,2026-06-22
348210,넥스틴,반도체,name-rule,2026-06-22
348340,뉴로메카,로봇,name-rule,2026-06-22
352820,하이브,엔터,name-rule,2026-06-22
357780,솔브레인,반도체,name-rule,2026-06-22
361610,SK아이이테크놀로지,2차전지,name-rule,2026-06-22
373220,LG에너지솔루션,2차전지,name-rule,2026-06-22
375500,DL이앤씨,건설,name-rule,2026-06-22
376300,디어유,엔터,name-rule,2026-06-22
377300,카카오페이,인터넷/AI,name-rule,2026-06-22
383310,에코프로에이치엔,2차전지,name-rule,2026-06-22
388720,유일로보틱스,로봇,name-rule,2026-06-22
402340,SK스퀘어,지주/상사,name-rule,2026-06-22
403870,HPSP,반도체,name-rule,2026-06-22
417200,LS머트리얼즈,지주/상사,name-rule,2026-06-22
450080,에코프로머티,2차전지,name-rule,2026-06-22
454910,두산로보틱스,로봇,name-rule,2026-06-22
475150,SK이터닉스,지주/상사,name-rule,2026-06-22
499790,GS피앤엘,지주/상사,name-rule,2026-06-22
